A1,A2,A3,A4,A5,B,composition,Pred_Phase_p06
Mg,Mn,Cu,Ag,Fe,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ag2O4,0
Mg,Mn,Cu,Ag,Fe,Al,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Al2O4,1
Mg,Mn,Cu,Ag,Fe,B,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2B2O4,0
Mg,Mn,Cu,Ag,Fe,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Bi2O4,1
Mg,Mn,Cu,Ag,Fe,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ti2O4,0
Mg,Mn,Cu,Ag,Fe,Co,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Co2O4,0
Mg,Mn,Cu,Ag,Fe,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Cr2O4,0
Mg,Mn,Cu,Ag,Fe,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Cu2O4,0
Mg,Mn,Cu,Ag,Fe,Fe,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Fe2O4,0
Mg,Mn,Cu,Ag,Fe,V,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2V2O4,0
Mg,Mn,Cu,Ag,Fe,Ga,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ga2O4,1
Mg,Mn,Cu,Ag,Fe,In,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2In2O4,0
Mg,Mn,Cu,Ag,Fe,Mn,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Mn2O4,0
Mg,Mn,Cu,Ag,Fe,Mo,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Mo2O4,0
Mg,Mn,Cu,Ag,Fe,N,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2N2O4,0
Mg,Mn,Cu,Ag,Fe,Nb,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Nb2O4,0
Mg,Mn,Cu,Ag,Fe,Ni,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ni2O4,0
Mg,Mn,Cu,Ag,Fe,Ru,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ru2O4,1
Mg,Mn,Cu,Ag,Ni,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ag2O4,1
Mg,Mn,Cu,Ag,Ni,Al,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Al2O4,1
Mg,Mn,Cu,Ag,Ni,B,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2B2O4,0
Mg,Mn,Cu,Ag,Ni,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Bi2O4,1
Mg,Mn,Cu,Ag,Ni,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ti2O4,0
Mg,Mn,Cu,Ag,Ni,Co,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Co2O4,0
Mg,Mn,Cu,Ag,Ni,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Cr2O4,0
Mg,Mn,Cu,Ag,Ni,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Cu2O4,0
Mg,Mn,Cu,Ag,Ni,Fe,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Fe2O4,0
Mg,Mn,Cu,Ag,Ni,V,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2V2O4,0
Mg,Mn,Cu,Ag,Ni,Ga,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ga2O4,1
Mg,Mn,Cu,Ag,Ni,In,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2In2O4,1
Mg,Mn,Cu,Ag,Ni,Mn,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Mn2O4,0
Mg,Mn,Cu,Ag,Ni,Mo,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Mo2O4,0
Mg,Mn,Cu,Ag,Ni,N,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2N2O4,0
Mg,Mn,Cu,Ag,Ni,Nb,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Nb2O4,0
Mg,Mn,Cu,Ag,Ni,Ni,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ni2O4,0
Mg,Mn,Cu,Ag,Ni,Ru,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ru2O4,1
Mg,Mn,Cu,Ag,Co,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Ag2O4,1
Mg,Mn,Cu,Ag,Co,Al,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Al2O4,1
Mg,Mn,Cu,Ag,Co,B,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2B2O4,0
Mg,Mn,Cu,Ag,Co,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Bi2O4,1
Mg,Mn,Cu,Ag,Co,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Ti2O4,0
Mg,Mn,Cu,Ag,Co,Co,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Co2O4,0
Mg,Mn,Cu,Ag,Co,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Cr2O4,0
Mg,Mn,Cu,Ag,Co,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Cu2O4,0
Mg,Mn,Cu,Ag,Co,Fe,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Fe2O4,0
Mg,Mn,Cu,Ag,Co,V,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2V2O4,0
Mg,Mn,Cu,Ag,Co,Ga,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Ga2O4,1
Mg,Mn,Cu,Ag,Co,In,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2In2O4,1
Mg,Mn,Cu,Ag,Co,Mn,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Mn2O4,0
Mg,Mn,Cu,Ag,Co,Mo,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Mo2O4,0
Mg,Mn,Cu,Ag,Co,N,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2N2O4,0
Mg,Mn,Cu,Ag,Co,Nb,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Nb2O4,0
Mg,Mn,Cu,Ag,Co,Ni,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Ni2O4,0
Mg,Mn,Cu,Ag,Co,Ru,Mg0.2Mn0.2Cu0.2Ag0.2Co0.2Ru2O4,1
Mg,Mn,Cu,Ag,Zn,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ag2O4,1
Mg,Mn,Cu,Ag,Zn,Al,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Al2O4,1
Mg,Mn,Cu,Ag,Zn,B,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2B2O4,0
Mg,Mn,Cu,Ag,Zn,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Bi2O4,1
Mg,Mn,Cu,Ag,Zn,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ti2O4,1
Mg,Mn,Cu,Ag,Zn,Co,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Co2O4,1
Mg,Mn,Cu,Ag,Zn,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Cr2O4,0
Mg,Mn,Cu,Ag,Zn,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Cu2O4,0
Mg,Mn,Cu,Ag,Zn,Fe,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Fe2O4,1
Mg,Mn,Cu,Ag,Zn,V,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2V2O4,1
Mg,Mn,Cu,Ag,Zn,Ga,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ga2O4,1
Mg,Mn,Cu,Ag,Zn,In,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2In2O4,1
Mg,Mn,Cu,Ag,Zn,Mn,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Mn2O4,0
Mg,Mn,Cu,Ag,Zn,Mo,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Mo2O4,0
Mg,Mn,Cu,Ag,Zn,N,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2N2O4,0
Mg,Mn,Cu,Ag,Zn,Nb,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Nb2O4,0
Mg,Mn,Cu,Ag,Zn,Ni,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ni2O4,0
Mg,Mn,Cu,Ag,Zn,Ru,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ru2O4,1
Mg,Mn,Cu,Fe,Ni,Ag,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ag2O4,1
Mg,Mn,Cu,Fe,Ni,Al,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Al2O4,1
Mg,Mn,Cu,Fe,Ni,B,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2B2O4,0
Mg,Mn,Cu,Fe,Ni,Bi,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Bi2O4,1
Mg,Mn,Cu,Fe,Ni,Ti,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ti2O4,1
Mg,Mn,Cu,Fe,Ni,Co,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Co2O4,1
Mg,Mn,Cu,Fe,Ni,Cr,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Cr2O4,0
Mg,Mn,Cu,Fe,Ni,Cu,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Cu2O4,0
Mg,Mn,Cu,Fe,Ni,Fe,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Fe2O4,1
Mg,Mn,Cu,Fe,Ni,V,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2V2O4,1
Mg,Mn,Cu,Fe,Ni,Ga,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ga2O4,1
Mg,Mn,Cu,Fe,Ni,In,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2In2O4,1
Mg,Mn,Cu,Fe,Ni,Mn,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Mn2O4,0
Mg,Mn,Cu,Fe,Ni,Mo,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Mo2O4,1
Mg,Mn,Cu,Fe,Ni,N,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2N2O4,0
Mg,Mn,Cu,Fe,Ni,Nb,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Nb2O4,1
Mg,Mn,Cu,Fe,Ni,Ni,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ni2O4,0
Mg,Mn,Cu,Fe,Ni,Ru,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ru2O4,1
Mg,Mn,Cu,Fe,Co,Ag,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Ag2O4,1
Mg,Mn,Cu,Fe,Co,Al,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Al2O4,1
Mg,Mn,Cu,Fe,Co,B,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2B2O4,0
Mg,Mn,Cu,Fe,Co,Bi,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Bi2O4,1
Mg,Mn,Cu,Fe,Co,Ti,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Ti2O4,1
Mg,Mn,Cu,Fe,Co,Co,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Co2O4,1
Mg,Mn,Cu,Fe,Co,Cr,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Cr2O4,0
Mg,Mn,Cu,Fe,Co,Cu,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Cu2O4,0
Mg,Mn,Cu,Fe,Co,Fe,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Fe2O4,1
Mg,Mn,Cu,Fe,Co,V,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2V2O4,1
Mg,Mn,Cu,Fe,Co,Ga,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Ga2O4,1
Mg,Mn,Cu,Fe,Co,In,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2In2O4,1
Mg,Mn,Cu,Fe,Co,Mn,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Mn2O4,1
Mg,Mn,Cu,Fe,Co,Mo,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Mo2O4,1
Mg,Mn,Cu,Fe,Co,N,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2N2O4,0
Mg,Mn,Cu,Fe,Co,Nb,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Nb2O4,1
Mg,Mn,Cu,Fe,Co,Ni,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Ni2O4,0
Mg,Mn,Cu,Fe,Co,Ru,Mg0.2Mn0.2Cu0.2Fe0.2Co0.2Ru2O4,1
Mg,Mn,Cu,Fe,Zn,Ag,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ag2O4,1
Mg,Mn,Cu,Fe,Zn,Al,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Al2O4,1
Mg,Mn,Cu,Fe,Zn,B,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2B2O4,0
Mg,Mn,Cu,Fe,Zn,Bi,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Bi2O4,1
Mg,Mn,Cu,Fe,Zn,Ti,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ti2O4,1
Mg,Mn,Cu,Fe,Zn,Co,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Co2O4,1
Mg,Mn,Cu,Fe,Zn,Cr,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Cr2O4,0
Mg,Mn,Cu,Fe,Zn,Cu,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Cu2O4,0
Mg,Mn,Cu,Fe,Zn,Fe,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Fe2O4,1
Mg,Mn,Cu,Fe,Zn,V,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2V2O4,1
Mg,Mn,Cu,Fe,Zn,Ga,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ga2O4,1
Mg,Mn,Cu,Fe,Zn,In,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2In2O4,1
Mg,Mn,Cu,Fe,Zn,Mn,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Mn2O4,1
Mg,Mn,Cu,Fe,Zn,Mo,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Mo2O4,1
Mg,Mn,Cu,Fe,Zn,N,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2N2O4,0
Mg,Mn,Cu,Fe,Zn,Nb,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Nb2O4,1
Mg,Mn,Cu,Fe,Zn,Ni,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ni2O4,0
Mg,Mn,Cu,Fe,Zn,Ru,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ru2O4,1
Mg,Mn,Cu,Ni,Co,Ag,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Ag2O4,1
Mg,Mn,Cu,Ni,Co,Al,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Al2O4,1
Mg,Mn,Cu,Ni,Co,B,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2B2O4,0
Mg,Mn,Cu,Ni,Co,Bi,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Bi2O4,1
Mg,Mn,Cu,Ni,Co,Ti,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Ti2O4,1
Mg,Mn,Cu,Ni,Co,Co,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Co2O4,1
Mg,Mn,Cu,Ni,Co,Cr,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Cr2O4,0
Mg,Mn,Cu,Ni,Co,Cu,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Cu2O4,0
Mg,Mn,Cu,Ni,Co,Fe,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Fe2O4,1
Mg,Mn,Cu,Ni,Co,V,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2V2O4,1
Mg,Mn,Cu,Ni,Co,Ga,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Ga2O4,1
Mg,Mn,Cu,Ni,Co,In,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2In2O4,1
Mg,Mn,Cu,Ni,Co,Mn,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Mn2O4,1
Mg,Mn,Cu,Ni,Co,Mo,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Mo2O4,1
Mg,Mn,Cu,Ni,Co,N,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2N2O4,0
Mg,Mn,Cu,Ni,Co,Nb,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Nb2O4,1
Mg,Mn,Cu,Ni,Co,Ni,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Ni2O4,0
Mg,Mn,Cu,Ni,Co,Ru,Mg0.2Mn0.2Cu0.2Ni0.2Co0.2Ru2O4,1
Mg,Mn,Cu,Ni,Zn,Ag,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ag2O4,1
Mg,Mn,Cu,Ni,Zn,Al,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Al2O4,1
Mg,Mn,Cu,Ni,Zn,B,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2B2O4,0
Mg,Mn,Cu,Ni,Zn,Bi,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Bi2O4,1
Mg,Mn,Cu,Ni,Zn,Ti,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ti2O4,1
Mg,Mn,Cu,Ni,Zn,Co,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Co2O4,1
Mg,Mn,Cu,Ni,Zn,Cr,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Cr2O4,0
Mg,Mn,Cu,Ni,Zn,Cu,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Cu2O4,0
Mg,Mn,Cu,Ni,Zn,Fe,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Fe2O4,1
Mg,Mn,Cu,Ni,Zn,V,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2V2O4,1
Mg,Mn,Cu,Ni,Zn,Ga,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ga2O4,1
Mg,Mn,Cu,Ni,Zn,In,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2In2O4,1
Mg,Mn,Cu,Ni,Zn,Mn,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Mn2O4,1
Mg,Mn,Cu,Ni,Zn,Mo,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Mo2O4,1
Mg,Mn,Cu,Ni,Zn,N,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2N2O4,0
Mg,Mn,Cu,Ni,Zn,Nb,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Nb2O4,1
Mg,Mn,Cu,Ni,Zn,Ni,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ni2O4,0
Mg,Mn,Cu,Ni,Zn,Ru,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ru2O4,1
Mg,Mn,Cu,Co,Zn,Ag,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Ag2O4,1
Mg,Mn,Cu,Co,Zn,Al,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Al2O4,1
Mg,Mn,Cu,Co,Zn,B,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2B2O4,0
Mg,Mn,Cu,Co,Zn,Bi,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Bi2O4,1
Mg,Mn,Cu,Co,Zn,Ti,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Ti2O4,1
Mg,Mn,Cu,Co,Zn,Co,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Co2O4,1
Mg,Mn,Cu,Co,Zn,Cr,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Cr2O4,0
Mg,Mn,Cu,Co,Zn,Cu,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Cu2O4,0
Mg,Mn,Cu,Co,Zn,Fe,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Fe2O4,1
Mg,Mn,Cu,Co,Zn,V,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2V2O4,1
Mg,Mn,Cu,Co,Zn,Ga,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Ga2O4,1
Mg,Mn,Cu,Co,Zn,In,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2In2O4,1
Mg,Mn,Cu,Co,Zn,Mn,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Mn2O4,1
Mg,Mn,Cu,Co,Zn,Mo,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Mo2O4,1
Mg,Mn,Cu,Co,Zn,N,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2N2O4,0
Mg,Mn,Cu,Co,Zn,Nb,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Nb2O4,1
Mg,Mn,Cu,Co,Zn,Ni,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Ni2O4,0
Mg,Mn,Cu,Co,Zn,Ru,Mg0.2Mn0.2Cu0.2Co0.2Zn0.2Ru2O4,1
Mg,Mn,Ag,Fe,Ni,Ag,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Ag2O4,0
Mg,Mn,Ag,Fe,Ni,Al,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Al2O4,1
Mg,Mn,Ag,Fe,Ni,B,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2B2O4,0
Mg,Mn,Ag,Fe,Ni,Bi,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Bi2O4,1
Mg,Mn,Ag,Fe,Ni,Ti,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Ti2O4,0
Mg,Mn,Ag,Fe,Ni,Co,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Co2O4,0
Mg,Mn,Ag,Fe,Ni,Cr,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Cr2O4,0
Mg,Mn,Ag,Fe,Ni,Cu,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Cu2O4,0
Mg,Mn,Ag,Fe,Ni,Fe,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Fe2O4,0
Mg,Mn,Ag,Fe,Ni,V,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2V2O4,0
Mg,Mn,Ag,Fe,Ni,Ga,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Ga2O4,1
Mg,Mn,Ag,Fe,Ni,In,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2In2O4,1
Mg,Mn,Ag,Fe,Ni,Mn,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Mn2O4,0
Mg,Mn,Ag,Fe,Ni,Mo,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Mo2O4,0
Mg,Mn,Ag,Fe,Ni,N,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2N2O4,0
Mg,Mn,Ag,Fe,Ni,Nb,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Nb2O4,0
Mg,Mn,Ag,Fe,Ni,Ni,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Ni2O4,0
Mg,Mn,Ag,Fe,Ni,Ru,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Ru2O4,1
Mg,Mn,Ag,Fe,Co,Ag,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Ag2O4,1
Mg,Mn,Ag,Fe,Co,Al,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Al2O4,1
Mg,Mn,Ag,Fe,Co,B,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2B2O4,0
Mg,Mn,Ag,Fe,Co,Bi,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Bi2O4,1
Mg,Mn,Ag,Fe,Co,Ti,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Ti2O4,1
Mg,Mn,Ag,Fe,Co,Co,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Co2O4,0
Mg,Mn,Ag,Fe,Co,Cr,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Cr2O4,0
Mg,Mn,Ag,Fe,Co,Cu,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Cu2O4,0
Mg,Mn,Ag,Fe,Co,Fe,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Fe2O4,0
Mg,Mn,Ag,Fe,Co,V,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2V2O4,0
Mg,Mn,Ag,Fe,Co,Ga,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Ga2O4,1
Mg,Mn,Ag,Fe,Co,In,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2In2O4,1
Mg,Mn,Ag,Fe,Co,Mn,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Mn2O4,0
Mg,Mn,Ag,Fe,Co,Mo,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Mo2O4,0
Mg,Mn,Ag,Fe,Co,N,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2N2O4,0
Mg,Mn,Ag,Fe,Co,Nb,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Nb2O4,0
Mg,Mn,Ag,Fe,Co,Ni,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Ni2O4,0
Mg,Mn,Ag,Fe,Co,Ru,Mg0.2Mn0.2Ag0.2Fe0.2Co0.2Ru2O4,1
Mg,Mn,Ag,Fe,Zn,Ag,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Ag2O4,1
Mg,Mn,Ag,Fe,Zn,Al,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Al2O4,1
Mg,Mn,Ag,Fe,Zn,B,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2B2O4,0
Mg,Mn,Ag,Fe,Zn,Bi,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Bi2O4,1
Mg,Mn,Ag,Fe,Zn,Ti,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Ti2O4,1
Mg,Mn,Ag,Fe,Zn,Co,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Co2O4,1
Mg,Mn,Ag,Fe,Zn,Cr,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Cr2O4,0
Mg,Mn,Ag,Fe,Zn,Cu,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Cu2O4,0
Mg,Mn,Ag,Fe,Zn,Fe,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Fe2O4,1
Mg,Mn,Ag,Fe,Zn,V,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2V2O4,1
Mg,Mn,Ag,Fe,Zn,Ga,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Ga2O4,1
Mg,Mn,Ag,Fe,Zn,In,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2In2O4,1
